"","x"
"1046",39.5541214375863
"1054",42.9118099687633
"1055",43.5170167527171
"1056",46.2959058195471
"1076",42.5838066293977
"1085",47.4765540766493
"1094",36.6557575729434
"1095",36.0544955852355
"1096",41.7856722629429
"1103",38.3461851216066
"1109",41.3347952540544
"1110",40.7980696069562
"1113",40.1612556117441
"1124",32.2418818814621
"1125",32.2991483517315
"1133",38.5052332413345
"1145",48.59622450725
"1158",35.1664616308157
"1161",38.5942431563336
"1162",37.8607664655918
"1165",37.0615393915306
"1166",40.4289614873284
"1167",40.7748404250578
"1180",51.3026417971186
"1192",48.0554065165511
"1194",42.4698716426309
"1196",41.528031028442
"1198",38.5207044658133
"1201",33.4318475069938
"1208",38.7066119008457
"1210",43.8792023125557
"1211",44.6856208753246
"1213",46.0230538526615
"1217",47.9128365990767
"1221",42.8676442380802
"1224",39.9487129985625
"1225",39.9261534773834
"1230",48.4398509123113
"1234",45.5784145991179
"1247",37.312098637841
"1248",38.1701011744366
"1253",40.8530152170053
"1256",37.5306155142349
"1258",46.33291643058
"1262",42.042689512759
"1271",44.5639497703728
"1276",37.2039612264479
"1280",37.2032421018177
"1282",38.3172745488274
"1283",36.9971821547367
"1289",35.7513610708871
"1294",35.2135015976595
"1295",32.2285478146623
"1302",47.0756833911258
"1314",34.2124693270783
"1319",29.6881599866089
"1322",35.8982904681916
"1326",34.2965166214177
"1334",28.2587990528756
"1336",29.239676145045
"1337",27.2763087745836
"1344",48.2750682769458
"1349",50.9513170479677
"1362",31.0734771890234
"1371",39.2579436547774
"1379",30.0673465650956
"1398",47.6932855202483
"1404",43.1665397589541
"1408",41.1143188570284
"1417",48.1308055794808
"1440",36.7735477636058
"1443",39.4030472295454
"1455",34.2230122733648
"1457",36.7438477893077
"1462",28.7139339388962
